"","genero","altura","femur"
"1","Male",173.5,49.8
"2","Male",170,48.45
"3","Male",171.5,51.05
"4","Male",165,45.4
"5","Male",165,47.05
"6","Male",164,46.7
"7","Male",185,52.15
"8","Male",182,51.55
"9","Male",164,45.8
"10","Male",154,44.9
"11","Female",164,46.1
"12","Male",169,45.85
"13","Male",170,47.65
"14","Male",167,45
"15","Male",166,45.8
"16","Male",160,46.8
"17","Female",154,43.6
"18","Male",169,48.7
"19","Male",157.5,44.05
"20","Male",156,43.45
"21","Male",148,41.3
"22","Male",170,48.05
"23","Male",183,52.65
"24","Male",173,48.4
"25","Male",175,48.95
"26","Female",160,43.5
"27","Female",154,43.55
"28","Male",166.5,47.3
"29","Female",148,41.9
"30","Female",160,47.3
"31","Female",157,42.8
"32","Male",170,47.8
"33","Female",160,43.75
"34","Female",158,43.45
"35","Male",159,44.3
"36","Male",173,50.25
"37","Male",179,51.25
"38","Male",167.5,46.1
"39","Male",164,46.6
"40","Male",168,47
"41","Female",155,42.35
"42","Female",157.5,43.05
"43","Female",151.5,40.7
"44","Female",156,45.1
"45","Female",149,41.75
"46","Male",184,54
"47","Female",152.5,40.8
"48","Male",180,52.1
"49","Female",144,42
"50","Male",170,47
"51","Male",163,44.85
"52","Male",174,48.7
"53","Female",151,42.7
"54","Female",152,41.6
"55","Male",161,45.1
"56","Male",159,46.7
"57","Male",171,47.5
"58","Female",149,39.65
"59","Female",158,44.6
"60","Female",164,43.1
"61","Female",159,44
"62","Female",142,37.7
"63","Male",174,49.6
"64","Female",155,44.45
"65","Female",149.5,39.5
"66","Male",153,44.15
"67","Female",144,41
"68","Male",174.5,50.65
"69","Male",163,45.95
"70","Female",159,43.2
"71","Female",157,45.1
"72","Female",152,43
"73","Female",153,43.4
"74","Female",156.5,43.9
"75","Female",155,43.7
"76","Female",155,44.4
"77","Female",149,43.3
"78","Female",154,40.7
"79","Male",171.5,50.8
"80","Female",150.5,42.65
"81","Male",170.5,48.25
"82","Female",158,44
"83","Male",177,49.4
"84","Male",161,47.1
"85","Male",175,47.95
"86","Male",166,46
"87","Male",177,51.3
"88","Female",157,43.9
"89","Male",171.5,48.3
"90","Male",169,46.2
"91","Male",172.5,51.3
"92","Male",174,45.8
"93","Male",179,50.8
"94","Male",157.5,42.25
"95","Male",152.5,41.7
"96","Male",175,50.9
"97","Female",159,45.15
"98","Female",161,45.3
"99","Female",167,49.4
